Date,Action,Price
2026-05-06 00:00:00,BUY,287.510009765625
2026-06-09 00:00:00,SELL,290.54998779296875
2026-07-08 00:00:00,BUY,313.3900146484375
2026-07-20 00:00:00,FINAL SELL,326.5899963378906
